start_time,end_time,duration_in_steps,final_pnl,max_drawdown,balancing_attempts,exit_status
2025-01-01 09:20:00,2025-01-10 17:55:00,2695,-19268.06973826031,17726.847652656033,0,EXIT_STOP_LOSS
2025-01-10 18:00:00,2025-01-16 14:45:00,1689,-21133.191740968818,26936.925534668106,0,EXIT_STOP_LOSS
2025-01-16 14:50:00,2025-01-16 15:55:00,13,-8361.809785168607,6479.054768437654,6,ACTION_STRATEGIC_CUT_TO_LOCKED_SHORT
2025-01-16 16:00:00,2025-01-17 02:40:00,128,-318.47304264219565,7082.724712499804,5,EXIT_ADX_PEAK
2025-01-17 02:45:00,2025-01-17 13:20:00,127,-592.7580556768371,4480.5114796875505,5,EXIT_ADX_PEAK
2025-01-17 13:25:00,2025-01-20 01:05:00,716,64.02467604468256,3754.4518474592624,1,EXIT_ADX_PEAK
2025-01-20 01:10:00,2025-02-03 00:25:00,4023,-2543.9806066931487,5677.159519555818,0,EXIT_ADX_PEAK
2025-02-03 00:30:00,2025-02-03 02:15:00,21,-2221.532271551978,8641.763437500018,5,EXIT_ADX_PEAK
2025-02-03 02:20:00,2025-02-03 05:15:00,35,-1598.4357401127531,5059.238898596779,5,EXIT_ADX_PEAK
2025-02-03 05:20:00,2025-02-03 16:05:00,129,5149.565011755654,2980.546875,5,EXIT_ADX_PEAK
2025-02-03 16:10:00,2025-02-03 17:35:00,17,-6198.661158584377,4522.603830937491,6,ACTION_STRATEGIC_CUT_TO_LOCKED_LONG
2025-02-03 17:40:00,2025-02-28 04:10:00,7038,-20458.541877120435,19755.87119625001,1,EXIT_STOP_LOSS
2025-02-28 04:15:00,2025-02-28 09:00:00,57,-1452.863539393882,4029.5575284375745,5,EXIT_ADX_PEAK
2025-02-28 09:05:00,2025-02-28 16:10:00,85,-319.76896325418056,1268.422031249971,5,EXIT_ADX_PEAK
2025-02-28 16:15:00,2025-02-28 17:25:00,14,-6050.039433917764,4884.547097812572,6,ACTION_STRATEGIC_CUT_TO_LOCKED_LONG
2025-02-28 17:30:00,2025-03-04 15:35:00,1129,-663.3054033056819,4618.3495254410245,1,EXIT_ADX_PEAK
2025-03-04 15:40:00,2025-03-12 04:00:00,2164,658.590089451634,5251.980000000003,0,EXIT_ADX_PEAK
2025-03-12 04:05:00,2025-03-12 09:15:00,62,-4818.189838126946,3179.165943749951,6,ACTION_STRATEGIC_CUT_TO_LOCKED_LONG
2025-03-12 09:20:00,2025-03-12 15:30:00,74,-1919.9396665087797,2529.781874999996,5,EXIT_ADX_PEAK
2025-03-12 15:35:00,2025-04-08 02:15:00,7616,-62.293349057994874,10851.85348968755,0,EXIT_ADX_PEAK
2025-04-08 02:20:00,2025-05-12 07:00:00,9848,-16412.73102650656,15561.062343281194,0,EXIT_STOP_LOSS
2025-05-12 07:05:00,2025-05-12 08:00:00,11,-5707.479883544679,3807.6246759374126,6,ACTION_STRATEGIC_CUT_TO_LOCKED_SHORT
2025-05-12 08:05:00,2025-05-13 10:00:00,311,-1.1023544179042801,15470.311811032698,0,EXIT_ADX_PEAK
2025-05-13 10:05:00,2025-05-13 15:10:00,61,-8227.240770244174,6222.9675350001235,6,ACTION_STRATEGIC_CUT_TO_LOCKED_SHORT
2025-05-13 15:15:00,2025-05-13 16:15:00,12,-6768.642264069246,4700.195254374949,6,ACTION_STRATEGIC_CUT_TO_LOCKED_SHORT
2025-05-13 16:20:00,2025-05-20 06:00:00,1892,-1612.2576912209934,13242.110398125107,0,EXIT_ADX_PEAK
2025-05-20 06:05:00,2025-06-01 21:50:00,3645,-21000.05874409418,19175.915692353694,0,EXIT_STOP_LOSS
2025-06-01 21:55:00,2025-06-02 08:25:00,126,-9103.023352685357,6991.943884687587,6,ACTION_STRATEGIC_CUT_TO_LOCKED_SHORT
2025-06-02 08:30:00,2025-06-03 02:20:00,214,-5978.984661469006,3848.8913028123816,6,ACTION_STRATEGIC_CUT_TO_LOCKED_LONG
2025-06-03 02:25:00,2025-06-21 20:10:00,5397,311.44769488889983,13352.41132312495,0,EXIT_ADX_PEAK
2025-06-21 20:15:00,2025-06-21 21:15:00,12,-6601.544811122524,4538.110306562504,6,ACTION_STRATEGIC_CUT_TO_LOCKED_LONG
2025-06-21 21:20:00,2025-06-22 22:40:00,304,-22368.224761913058,22106.939088779745,0,EXIT_STOP_LOSS
2025-06-22 22:45:00,2025-07-14 05:20:00,6127,-19653.955760510755,17710.87958754212,1,EXIT_STOP_LOSS
2025-07-14 05:25:00,2025-10-30 01:05:00,31052,-11289.638343660627,12567.776182499983,0,HOLD
