adx_threshold,atr_window,fixed_spread,max_balancing_attempts,win_count,loss_count,total_count,win_rate
15,100,0.05,2,8804,663,9467,92.99672546741313
15,50,0.05,2,8808,709,9517,92.55017337396238
15,100,0.05,3,8647,820,9467,91.33833315728319
20,50,0.05,2,8651,866,9517,90.90049385310496
15,50,0.05,3,8568,949,9517,90.0283702847536
15,150,0.05,2,8366,1051,9417,88.83933312095147
20,100,0.05,2,8296,1171,9467,87.6307172282666
15,150,0.05,3,8147,1270,9417,86.51375172560265
15,50,0.03,2,8224,1293,9517,86.41378585688767
15,100,0.03,2,8108,1359,9467,85.64487165944861
20,150,0.05,2,8015,1402,9417,85.11203143251566
20,50,0.05,3,7997,1520,9517,84.02858043501104
15,50,0.03,3,7860,1657,9517,82.58905117158768
15,150,0.03,2,7744,1673,9417,82.2342571944356
20,100,0.05,3,7760,1707,9467,81.96894475546635
15,50,0.05,5,7750,1767,9517,81.43322475570032
15,100,0.05,5,7648,1819,9467,80.78588782085137
20,50,0.03,2,7646,1871,9517,80.34044341704319
15,100,0.03,3,7576,1891,9467,80.02535122002746
20,150,0.05,3,7412,2005,9417,78.70871827545928
15,150,0.05,5,7393,2024,9417,78.50695550599978
25,50,0.05,2,7427,2090,9517,78.03929809814018
15,150,0.03,3,7298,2119,9417,77.49814165870235
20,100,0.03,2,7308,2159,9467,77.19446498362734
20,50,0.03,3,7148,2369,9517,75.10770200693496
20,150,0.03,2,7067,2350,9417,75.04513114580014
20,50,0.05,5,7036,2481,9517,73.93086056530419
25,100,0.05,2,6834,2633,9467,72.18759902820324
15,50,0.03,5,6857,2660,9517,72.05001576126931
20,100,0.03,3,6696,2771,9467,70.72990387662406
20,100,0.05,5,6577,2890,9467,69.47290588359564
20,150,0.03,3,6481,2936,9417,68.82234257194435
20,150,0.05,5,6481,2936,9417,68.82234257194435
15,50,0.01,2,6548,2969,9517,68.803194283913
15,100,0.03,5,6492,2975,9467,68.57505017428964
15,100,0.01,2,6450,3017,9467,68.13140382380902
15,150,0.03,5,6357,3060,9417,67.50557502389296
25,50,0.05,3,6417,3100,9517,67.42671009771986
25,150,0.05,2,6228,3189,9417,66.13571201019433
25,100,0.05,3,6232,3235,9467,65.82866800464772
25,50,0.03,2,6251,3266,9517,65.68246296101712
20,50,0.03,5,6236,3281,9517,65.52485026794159
15,50,0.01,3,6210,3307,9517,65.2516549332773
15,150,0.01,2,6094,3323,9417,64.71275353084846
20,100,0.03,5,6047,3420,9467,63.874511460864056
20,50,0.01,2,6077,3440,9517,63.85415572134075
25,100,0.03,2,5995,3472,9467,63.325235026935665
20,150,0.03,5,5917,3500,9417,62.83317404693639
20,50,0.01,3,5855,3662,9517,61.521487863822635
15,100,0.01,3,5800,3667,9467,61.26544839970423
25,50,0.03,3,5796,3721,9517,60.90154460439214
20,100,0.01,2,5678,3789,9467,59.976761381641495
20,50,0.01,5,5690,3827,9517,59.787748239991586
20,150,0.01,2,5593,3824,9417,59.39258787299565
20,150,0.01,3,5575,3842,9417,59.20144419666561
25,50,0.03,5,5630,3887,9517,59.157297467689396
20,100,0.01,3,5600,3867,9467,59.15284673074892
25,50,0.01,5,5608,3909,9517,58.92613218451193
15,50,0.01,5,5606,3911,9517,58.90511715876852
25,50,0.01,3,5590,3927,9517,58.736996952821265
15,150,0.01,3,5489,3928,9417,58.28820218753319
20,100,0.01,5,5515,3952,9467,58.254991021442905
25,100,0.03,3,5420,4047,9467,57.251505228689126
25,150,0.05,3,5371,4046,9417,57.03514919825847
20,150,0.01,5,5365,4052,9417,56.971434639481785
25,100,0.05,5,5370,4097,9467,56.7233548114503
15,100,0.01,5,5339,4128,9467,56.395901552762226
25,50,0.01,2,5335,4182,9517,56.05758117053693
25,150,0.03,2,5270,4147,9417,55.962620792184346
25,100,0.03,5,5276,4191,9467,55.730432027041296
25,50,0.05,5,5264,4253,9517,55.31154775664601
15,150,0.01,5,5156,4261,9417,54.752044175427415
25,150,0.03,5,5152,4265,9417,54.70956780290963
25,150,0.01,3,5106,4311,9417,54.22108951895508
25,100,0.01,5,5120,4347,9467,54.08260272525616
25,150,0.03,3,5051,4366,9417,53.637039396835505
25,100,0.01,3,5056,4411,9467,53.40657019119045
25,150,0.05,5,5000,4417,9417,53.09546564723373
25,150,0.01,5,4968,4449,9417,52.755654667091434
25,100,0.01,2,4982,4485,9467,52.624907573676985
25,150,0.01,2,4923,4494,9417,52.277795476266334
